EMPRESA,PROYECTO,N° WM,NOMBRES,APELLIDOS,CARGO TRABAJADOR,MAIL,RUT,ESTADO PEATON,ESTADO CONDUCTOR/OPERADOR,TURNO,FECHA INGRESO TURNO,FECHA SALIDA TURNO,CargoReporte,DependenciaTurno,NOMBRE_RESPORTABILIDAD,APELLIDO_RESPORTABILIDAD,MAIL_RESPORTABILIDAD,TURNO_REPORTABILIDAD,FECHA_INGRESO_TURNO_RESPORTABILIDAD,FECHA_SALIDA_TURNO_RESPORTABILIDAD
Perforaciones Andinas SpA,Proyecto Salar Blanco,169,Carlos Claudio,Torres Arriagada,CHOFER DE SONDAJE,carlos.torres@perforacionesandinas.cl,16.155.909-1,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,108,Fernando Victor,Valenzuela Opazo,MANTENEDOR,fernando.valenzuela@perforacionesandinas.cl,15.678.685-3,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,JEFE FAENA,SI,Jaime Victor,Sandoval Vidal,jaime.sandoval@perforacionesandinas.cl,C,2025-09-26,2025-10-05
Perforaciones Andinas SpA,Proyecto Salar Blanco,176,Alvaro Felipe,Maldonado Quintero,PREVENCIONISTA DE RIESGOS,alvaro.maldonado@perforacionesandinas.cl,18.252.201-5,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,92,Gonzalo Felipe,Perez Rios,SUPERVISOR DE FAENA,gonzalo.perez@perforacionesandinas.cl,18.649.339-7,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,JEFE FAENA,SI,Jaime Victor,Sandoval Vidal,jaime.sandoval@perforacionesandinas.cl,C,2025-09-26,2025-10-05
Perforaciones Andinas SpA,Proyecto Salar Blanco,172,Claudio Pablo,Reyes Garrido,PERFORISTA DE SONDAJE,claudio.reyes@perforacionesandinas.cl,18.740.063-5,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,172,Claudio Pablo,Reyes Garrido,PERFORISTA DE SONDAJE,claudio.reyes@perforacionesandinas.cl,18.740.063-5,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,119,Veronica Isidora,Zuniga Palma,AYUDANTE DE SONDAJE,veronica.zuniga@perforacionesandinas.cl,11.740.807-8,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,119,Veronica Isidora,Zuniga Palma,AYUDANTE DE SONDAJE,veronica.zuniga@perforacionesandinas.cl,11.740.807-8,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,72,Raul Tomas,Acuna Vergara,AYUDANTE DE SONDAJE,raul.acuna@perforacionesandinas.cl,16.120.889-2,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,72,Raul Tomas,Acuna Vergara,AYUDANTE DE SONDAJE,raul.acuna@perforacionesandinas.cl,16.120.889-2,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,50,Martin Hernan,Figueroa Lopez,PERFORISTA DE SONDAJE,martin.figueroa@perforacionesandinas.cl,18.075.138-6,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,50,Martin Hernan,Figueroa Lopez,PERFORISTA DE SONDAJE,martin.figueroa@perforacionesandinas.cl,18.075.138-6,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,7,Hugo Victor,Orellana Lopez,AYUDANTE DE SONDAJE,hugo.orellana@perforacionesandinas.cl,16.609.771-1,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,7,Hugo Victor,Orellana Lopez,AYUDANTE DE SONDAJE,hugo.orellana@perforacionesandinas.cl,16.609.771-1,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,135,Catalina Andrea,Castillo Fernandez,AYUDANTE DE SONDAJE,catalina.castillo@perforacionesandinas.cl,10.574.824-8,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,135,Catalina Andrea,Castillo Fernandez,AYUDANTE DE SONDAJE,catalina.castillo@perforacionesandinas.cl,10.574.824-8,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,157,Elena Teresa,Flores Torres,PERFORISTA DE SONDAJE,elena.flores@perforacionesandinas.cl,11.890.785-K,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,157,Elena Teresa,Flores Torres,PERFORISTA DE SONDAJE,elena.flores@perforacionesandinas.cl,11.890.785-K,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,156,Sergio Joaquin,Carrasco Pizarro,AYUDANTE DE SONDAJE,sergio.carrasco@perforacionesandinas.cl,18.910.700-5,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,156,Sergio Joaquin,Carrasco Pizarro,AYUDANTE DE SONDAJE,sergio.carrasco@perforacionesandinas.cl,18.910.700-5,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,158,Patricio Pablo,Quintero Villalobos,AYUDANTE DE SONDAJE,patricio.quintero@perforacionesandinas.cl,18.344.004-7,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,158,Patricio Pablo,Quintero Villalobos,AYUDANTE DE SONDAJE,patricio.quintero@perforacionesandinas.cl,18.344.004-7,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,147,Carla Carmen,Rodriguez Molina,PERFORISTA DE SONDAJE,carla.rodriguez@perforacionesandinas.cl,12.221.680-2,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,147,Carla Carmen,Rodriguez Molina,PERFORISTA DE SONDAJE,carla.rodriguez@perforacionesandinas.cl,12.221.680-2,ACREDITADO,ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,153,Mario Alejandro,Garrido Rios,AYUDANTE DE SONDAJE,mario.garrido@perforacionesandinas.cl,18.196.714-5,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,153,Mario Alejandro,Garrido Rios,AYUDANTE DE SONDAJE,mario.garrido@perforacionesandinas.cl,18.196.714-5,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,155,Alejandro Raul,Leiva Escobar,AYUDANTE DE SONDAJE,alejandro.leiva@perforacionesandinas.cl,23.372.306-1,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,155,Alejandro Raul,Leiva Escobar,AYUDANTE DE SONDAJE,alejandro.leiva@perforacionesandinas.cl,23.372.306-1,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,118,Pedro Rodrigo,Acuna Vega,PERFORISTA DE SONDAJE,pedro.acuna@perforacionesandinas.cl,13.520.592-3,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,118,Pedro Rodrigo,Acuna Vega,PERFORISTA DE SONDAJE,pedro.acuna@perforacionesandinas.cl,13.520.592-3,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,95,Sofia Lorena,Cornejo Maldonado,AYUDANTE DE SONDAJE,sofia.cornejo@perforacionesandinas.cl,10.429.143-0,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,95,Sofia Lorena,Cornejo Maldonado,AYUDANTE DE SONDAJE,sofia.cornejo@perforacionesandinas.cl,10.429.143-0,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,80,Claudia Macarena,Caceres Campos,AYUDANTE DE SONDAJE,claudia.caceres@perforacionesandinas.cl,10.340.422-3,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,80,Claudia Macarena,Caceres Campos,AYUDANTE DE SONDAJE,claudia.caceres@perforacionesandinas.cl,10.340.422-3,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,66,Victor Martin,Pizarro Espinoza,PERFORISTA DE SONDAJE,victor.pizarro@perforacionesandinas.cl,17.761.169-7,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,66,Victor Martin,Pizarro Espinoza,PERFORISTA DE SONDAJE,victor.pizarro@perforacionesandinas.cl,17.761.169-7,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,116,Leonardo Lucas,Zuniga Jara,AYUDANTE DE SONDAJE,leonardo.zuniga@perforacionesandinas.cl,20.140.773-7,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,116,Leonardo Lucas,Zuniga Jara,AYUDANTE DE SONDAJE,leonardo.zuniga@perforacionesandinas.cl,20.140.773-7,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,58,Hernan Hugo,Ahumada Jara,AYUDANTE DE SONDAJE,hernan.ahumada@perforacionesandinas.cl,10.930.549-9,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,58,Hernan Hugo,Ahumada Jara,AYUDANTE DE SONDAJE,hernan.ahumada@perforacionesandinas.cl,10.930.549-9,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,96,Matias Pedro,Perez Guzman,AYUDANTE DE SONDAJE,matias.perez@perforacionesandinas.cl,21.759.302-6,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,96,Matias Pedro,Perez Guzman,AYUDANTE DE SONDAJE,matias.perez@perforacionesandinas.cl,21.759.302-6,ACREDITADO,NO ACREDITADO,D,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,140,Tomas Hernan,Jara Mendoza,AYUDANTE DE SONDAJE,tomas.jara@perforacionesandinas.cl,16.488.311-6,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,140,Tomas Hernan,Jara Mendoza,AYUDANTE DE SONDAJE,tomas.jara@perforacionesandinas.cl,16.488.311-6,ACREDITADO,NO ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,27,Vicente Alvaro,Lopez Molina,ASESOR TECNICO LODOS,vicente.lopez@perforacionesandinas.cl,23.041.880-2,ACREDITADO,NO ACREDITADO,C,2025-09-29,2025-10-03,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,119,Luis Alvaro,Espinoza Rodriguez,PREVENCIONISTA DE RIESGOS,luis.espinoza@perforacionesandinas.cl,23.365.585-6,ACREDITADO,ACREDITADO,C,2025-09-29,2025-10-03,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,113,Rodrigo Ivan,Ortiz Saavedra,JEFE FAENA,rodrigo.ortiz@perforacionesandinas.cl,20.826.138-K,ACREDITADO,ACREDITADO,C,2025-09-26,2025-10-05,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,81,Martin Jorge,Morales Lopez,COORDINADOR ADMINISTRATIVO,martin.morales@perforacionesandinas.cl,23.809.120-9,ACREDITADO,NO ACREDITADO,C,2025-09-26,2025-10-05,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,168,Mario Eduardo,Vargas Jara,BODEGUERO,mario.vargas@perforacionesandinas.cl,22.761.674-1,ACREDITADO,NO ACREDITADO,C,2025-09-26,2025-10-05,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Valle Verde,123,Ivan Vicente,Rodriguez Quintero,MANTENEDOR,ivan.rodriguez@perforacionesandinas.cl,16.977.854-K,ACREDITADO,NO ACREDITADO,A,2025-11-21,2025-12-05,JEFE FAENA,SI,Nicolas Ignacio,Opazo Flores,nicolas.opazo@perforacionesandinas.cl,A,2025-11-21,2025-12-05
Perforaciones Andinas SpA,Proyecto Valle Verde,120,Josefa Isidora,Arriagada Fuentes,CHOFER DE SONDAJE,josefa.arriagada@perforacionesandinas.cl,11.413.781-2,ACREDITADO,ACREDITADO,A,2025-11-21,2025-12-05,SUPERVISOR DE FAENA,SI,Luis Rodrigo,Fernandez Caceres,luis.fernandez@perforacionesandinas.cl,B,2025-11-21,2025-12-05
Perforaciones Andinas SpA,Proyecto Valle Verde,122,Gabriela Francisca,Garcia Poblete,CHOFER DE SONDAJE,gabriela.garcia@perforacionesandinas.cl,11.895.638-9,ACREDITADO,ACREDITADO,A,2025-11-21,2025-12-05,SUPERVISOR DE FAENA,SI,Luis Rodrigo,Fernandez Caceres,luis.fernandez@perforacionesandinas.cl,B,2025-11-21,2025-12-05
Perforaciones Andinas SpA,Proyecto Valle Verde,82,Sergio Andres,Godoy Lopez,CHOFER DE SONDAJE,sergio.godoy@perforacionesandinas.cl,21.340.231-5,ACREDITADO,ACREDITADO,A,2025-11-21,2025-12-05,SUPERVISOR DE FAENA,SI,Luis Rodrigo,Fernandez Caceres,luis.fernandez@perforacionesandinas.cl,B,2025-11-21,2025-12-05
